Rank,Team,2025,Last 3,Last 1,Home,Away
1,Houston,76.0%,75.5%,77.8%,73.7%,78.2%
2,Utah,76.3%,68.4%,68.8%,75.0%,77.6%
3,Golden State,76.5%,80.6%,66.7%,75.9%,77.0%
4,LA Clippers,76.8%,73.6%,71.4%,74.5%,78.9%
5,Boston,76.8%,82.2%,90.5%,76.4%,77.3%
6,Orlando,77.0%,88.5%,87.5%,80.1%,73.8%
7,Memphis,77.2%,76.2%,80.0%,77.2%,77.1%
8,Denver,77.3%,74.6%,79.2%,76.8%,77.7%
9,Minnesota,77.3%,83.6%,85.7%,76.2%,78.3%
10,LA Lakers,77.4%,74.7%,72.7%,79.5%,75.3%
11,Detroit,77.6%,68.0%,80.0%,78.3%,76.9%
12,Cleveland,77.6%,76.3%,77.3%,76.9%,78.4%
13,Indiana,77.6%,77.5%,71.0%,76.9%,78.3%
14,Okla City,77.7%,75.0%,75.9%,77.4%,78.0%
15,Toronto,77.8%,80.0%,87.5%,77.9%,77.6%
16,Dallas,77.9%,82.2%,86.7%,79.6%,76.4%
17,Brooklyn,77.9%,76.1%,88.5%,77.9%,78.0%
18,Miami,78.2%,88.2%,88.0%,77.7%,78.6%
19,Chicago,78.4%,74.5%,63.6%,79.7%,77.2%
20,Sacramento,78.5%,82.0%,92.3%,79.1%,78.0%
21,Milwaukee,78.6%,77.8%,75.0%,79.8%,77.5%
22,New Orleans,78.6%,77.2%,88.9%,76.8%,80.4%
23,New York,78.9%,83.8%,84.2%,78.0%,79.8%
24,Phoenix,79.0%,82.5%,100.0%,80.5%,77.7%
25,Charlotte,79.0%,73.0%,69.2%,79.0%,79.0%
26,San Antonio,79.0%,81.8%,75.0%,80.6%,77.4%
27,Washington,79.3%,80.6%,83.3%,79.4%,79.3%
28,Philadelphia,79.4%,78.4%,75.0%,78.9%,79.8%
29,Portland,79.9%,79.7%,71.4%,79.6%,80.2%
30,Atlanta,80.0%,70.0%,61.1%,80.3%,79.8%
