Rank,Team,2026,Last 3,Last 1,Home,Away
1,Orlando,22.8%,22.4%,18.5%,22.9%,22.7%
2,Brooklyn,22.6%,23.2%,22.0%,22.5%,22.8%
3,Detroit,22.6%,23.7%,26.8%,22.1%,23.1%
4,LA Lakers,22.6%,23.0%,22.0%,24.6%,21.2%
5,Houston,22.2%,22.7%,27.3%,22.8%,21.8%
6,Portland,22.2%,23.3%,21.0%,22.8%,21.8%
7,Indiana,22.0%,21.8%,18.3%,22.2%,21.8%
8,Okla City,21.5%,22.4%,24.6%,21.7%,21.4%
9,Minnesota,21.5%,23.4%,24.6%,22.3%,20.8%
10,Cleveland,21.4%,17.4%,13.6%,20.8%,22.3%
11,San Antonio,21.4%,22.4%,21.0%,20.5%,22.7%
12,Dallas,21.4%,17.5%,15.2%,22.4%,19.0%
13,Denver,21.2%,19.5%,16.2%,20.0%,22.2%
14,Charlotte,21.0%,20.5%,21.2%,21.3%,20.7%
15,New York,21.0%,18.6%,15.4%,21.2%,20.7%
16,Utah,21.0%,15.0%,13.1%,21.3%,20.6%
17,New Orleans,20.7%,18.4%,16.4%,21.1%,20.1%
18,Philadelphia,20.6%,17.2%,18.5%,21.0%,19.9%
19,Memphis,20.1%,17.8%,16.4%,19.8%,20.4%
20,LA Clippers,20.0%,21.5%,22.0%,19.7%,20.2%
21,Miami,19.4%,17.5%,14.7%,19.2%,19.7%
22,Toronto,19.4%,17.9%,21.2%,18.9%,19.8%
23,Chicago,19.4%,19.8%,18.6%,20.2%,18.7%
24,Boston,19.3%,17.5%,17.9%,18.8%,20.0%
25,Phoenix,19.3%,18.1%,17.0%,19.9%,18.5%
26,Atlanta,19.0%,16.8%,18.0%,19.7%,18.6%
27,Sacramento,18.9%,20.2%,14.0%,18.8%,19.0%
28,Golden State,18.6%,19.3%,21.0%,18.1%,19.0%
29,Milwaukee,18.2%,14.2%,9.8%,17.9%,18.6%
30,Washington,16.9%,17.0%,18.0%,16.3%,17.2%
