Rank,Team,2026,Last 3,Last 1,Home,Away
1,Phoenix,9.3%,9.9%,12.7%,8.5%,10.5%
2,Okla City,9.2%,9.2%,7.0%,9.9%,8.6%
3,Golden State,8.7%,9.0%,6.7%,8.8%,8.6%
4,Detroit,8.4%,7.0%,4.4%,8.4%,8.5%
5,LA Lakers,8.3%,7.3%,8.4%,8.0%,8.5%
6,New Orleans,8.3%,8.1%,8.3%,8.1%,8.6%
7,Houston,8.2%,8.6%,6.5%,8.8%,7.8%
8,New York,8.1%,6.9%,10.6%,8.0%,8.3%
9,Atlanta,7.9%,4.8%,3.6%,7.6%,8.1%
10,Toronto,7.8%,9.0%,8.4%,7.8%,7.9%
11,Cleveland,7.8%,7.7%,9.7%,6.9%,8.9%
12,Minnesota,7.7%,8.5%,3.7%,8.6%,7.0%
13,San Antonio,7.7%,7.7%,10.3%,7.8%,7.4%
14,Miami,7.6%,6.7%,8.0%,7.4%,7.9%
15,Sacramento,7.4%,7.3%,7.7%,6.9%,7.9%
16,LA Clippers,7.4%,6.4%,6.3%,8.2%,6.7%
17,Portland,7.4%,5.5%,2.4%,7.8%,7.1%
18,Boston,7.2%,6.4%,7.4%,7.4%,6.9%
19,Orlando,7.1%,5.4%,8.6%,7.0%,7.2%
20,Milwaukee,6.9%,7.7%,6.3%,7.0%,6.8%
21,Dallas,6.8%,5.9%,6.7%,6.6%,7.3%
22,Utah,6.7%,7.0%,5.7%,7.0%,6.4%
23,Memphis,6.6%,5.9%,7.5%,6.4%,6.8%
24,Denver,6.5%,4.2%,4.6%,6.7%,6.3%
25,Philadelphia,6.4%,6.3%,5.7%,5.8%,7.1%
26,Chicago,6.3%,3.7%,3.0%,6.0%,6.6%
27,Brooklyn,6.2%,4.7%,4.8%,6.8%,5.7%
28,Washington,5.9%,8.6%,10.9%,6.3%,5.6%
29,Charlotte,5.9%,4.2%,4.5%,4.7%,7.0%
30,Indiana,5.7%,8.0%,6.0%,5.6%,5.8%
